location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,12.9,µg/m³,24.5886166,73.6321397,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Shrinath Puram, Kota - RSPCB",Kota,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,6.77,µg/m³,25.14389,75.821256,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Moti Doongri, Alwar - RSPCB", Alwar,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,15.7,µg/m³,27.554793,76.611536,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Manali, Chennai - CPCB",Chennai,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.65,µg/m³,13.164544,80.26285,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Gangapur Road, Nashik - MPCB",Nashik,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,1.82,µg/m³,20.0073285,73.7762427,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Zoo Park, Hyderabad - TSPCB",Hyderabad,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.3,µg/m³,17.349694,78.451437,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Haldia, Haldia - WBPCB",Haldia,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,13.21,µg/m³,22.06047,88.109737,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Velachery Res. Area, Chennai - CPCB",Chennai,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.39,µg/m³,13.0052189,80.2398125,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Nehru Nagar, Kanpur - UPPCB",Kanpur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,0.2,µg/m³,26.4703136,80.3229863,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Lalbagh, Lucknow - CPCB",Lucknow,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,0,µg/m³,26.8458805,80.9365541,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,13.3,µg/m³,17.5316895,78.218939,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
