location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,43,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,33,µg/m³,12.951913,77.539784,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,113.93,µg/m³,19.10861,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Udyogamandal, Eloor - Kerala PCB",Eloor,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,2,µg/m³,10.073232,76.302765,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Phase-4 GIDC, Vatva - GPCB",Vatva,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,213.64,µg/m³,22.969611,72.6435,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,152.8,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hebbal, Bengaluru - KSPCB",Bengaluru,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,43,µg/m³,13.029152,77.585901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Ratanpura, Rupnagar - Ambuja Cements",Rupnagar,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,58.45,µg/m³,31.0325454,76.5623046,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Yamunapuram, Bulandshahr - UPPCB",Bulandshahr,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,112,µg/m³,28.406963,77.849831,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Knowledge Park - III, Greater Noida - UPPCB",Greater Noida,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,290,µg/m³,28.47272,77.482,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Civil Line, Jalandhar - PPCB",Jalandhar,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,58.08,µg/m³,31.321907,75.578914,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
